,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
2440,14640,[13C].[14C].[16C][17O][17C]([18O])[15C]=[15N],[16C][17O][17C]([18O])[15C]=[15N],COC(O)C=N,0.2770580837742111,0.8069671619849893
2460,14709,[13C].[14C].[17C][15C]=[15N][16C][17O][18O],[17C][15C]=[15N][16C][17O][18O],CC=NCOO,0.16642231869832733,0.8944291857533931
2480,14767,[13C].[14C].[15N]=[15C][17C]([17O])[16C][18O],[15N]=[15C][17C]([17O])[16C][18O],N=CC(O)CO,0.5763768812056791,0.6321920143765495
2500,14878,[13C].[14C].[16C]=[17C][15C]=[15N][17O].[18O],[16C]=[17C][15C]=[15N][17O],C=CC=NO,0.056401447697347985,0.9438644278386289
2520,15570,[13C].[14C].[15C]=[17C]([15N])[17O][18O].[16C],[15C]=[17C]([15N])[17O][18O],C=C(N)OO,0.32599561887387457,0.7177073705352157
2540,15667,[13C].[14C].[15C]=[17C]1[18O][15N]1[17O][16C],[15C]=[17C]1[18O][15N]1[17O][16C],C=C1ON1OC,0.21184072464593273,0.8899675134128434
2560,15773,[13C].[14C].[15C]=[17C][15N]([16C])[17O][18O],[15C]=[17C][15N]([16C])[17O][18O],C=CN(C)OO,0.289502598631289,0.8456733464978734
2580,15847,[13C].[14C].[15C]=[17C]([18O])[17O][16C][15N],[15C]=[17C]([18O])[17O][16C][15N],C=C(O)OCN,0.19609847059263993,0.8485288554239797
2600,16063,[13C].[14C].[15C]=[17C]([16C])[15N][18O].[17O],[15C]=[17C]([16C])[15N][18O],C=C(C)NO,0.31764849305034765,0.7458430013342339
2620,16160,[13C].[14C].[15C]=[17C][16C][15N][18O].[17O],[15C]=[17C][16C][15N][18O],C=CCNO,0.10675699493736387,0.9849050771310371
2640,16401,[13C].[14C].[15N][17C]=[15C][18O].[16C].[17O],[15N][17C]=[15C][18O],NC=CO,0.2583545025608261,0.7841395385185979
