,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
40660,806693,12.0,C[15C](=[17C])[14C@H]([15N][17O][18O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC(=C)[C@H](NOOCc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.10691501226375066,0.9860545445708802
40680,803819,12.0,C[15C]([17C])[14C@@H](c1ccccc1)[15N]1[18O][17O][16C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CC(C)[C@@H](c1ccccc1)N1OO[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.09876087940684208,0.9867920860095087
40700,307685,12.0,C[15C]1[16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][15N][17C]1=[14CH]c1ccccc1,CC1[C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)ONC1=Cc1ccccc1,0.04726868772147277,0.9828581866190219
40720,205272,12.0,C[15C][18O][14C@@H]([17C][16C@H]([15N]=[17O])c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CCO[C@@H](C[C@H](N=O)c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.1864944027994003,0.9147605298410971
40740,205698,12.0,C[15C]([17O])[18O][14C@H](c1ccccc1)[17C](=[15N])[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CC(O)O[C@H](c1ccccc1)C(=N)Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.14867180192726,0.9622821875479906
40760,199935,12.0,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[17O][15N]=[17C][14CH]c1ccccc1,CC(=Cc1ccc(N2Cc3ccccc3C2=O)cc1)ON=CCc1ccccc1,0.0686302658254189,0.9722521561620627
40780,205899,12.0,C[15C][15N]=[17C]1[17O][18O][14C@@H]1c1ccccc1,CCN=C1OO[C@@H]1c1ccccc1,0.21599043131992585,0.8455109408637189
40800,204628,12.0,O=C1c2ccccc2CN1c1ccc([16CH][17O][17C]2=[15N][18O][14C@@H]2c2ccccc2)cc1,O=C1c2ccccc2CN1c1ccc(COC2=NO[C@@H]2c2ccccc2)cc1,0.08615162067073427,0.9580760932605931
40820,205912,12.0,C[15C][15N]=[17C]([17O])[14C@H]([18O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CCN=C(O)[C@H](OCc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.13858935734779163,0.9233300234756261
40840,806872,12.0,C[15C](=[17C])[14C@H]([15N][16C@H]([17O][18O])c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC(=C)[C@H](N[C@H](OO)c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.1238466045130511,0.9007940736058714
40860,205930,12.0,C[15C][15N]1[18O][14C@H](c2ccccc2)[17C]1[17O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CCN1O[C@H](c2ccccc2)C1OCc1ccc(N2Cc3ccccc3C2=O)cc1,0.1024128334099249,0.9559225940835557
40880,307637,12.0,C[15C]([17C]=[14CH]c1ccccc1)[16C@H]([18O][17O][15N])c1ccc(N2Cc3ccccc3C2=O)cc1,CC(C=Cc1ccccc1)[C@H](OON)c1ccc(N2Cc3ccccc3C2=O)cc1,0.33467891695406304,0.752326255072336
40900,220971,12.0,C[15C]([17O][14C@@H]([17C]=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1)[18O][15N],CC(O[C@@H](C=Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1)ON,0.1336694815462126,0.9476291139166856
40920,408556,12.0,C[15C]1[17C][17O][15N]1[18O][14C@@H]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC1CON1O[C@@H](Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.16593839503280783,0.8847432076381244
40940,409688,12.0,C[15C]=[17C]([15N][17O])[18O][14C@@H]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC=C(NO)O[C@@H](Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.19758156695026632,0.9027486203423531
