smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.c1cc2[nH]c1OO2,17.0,16.0,16.0,15.0
C.Oc1ccc2n1O2,17.0,16.0,16.0,15.0
C.Oc1ccc2n1O2,17.0,16.0,16.0,15.0
C.Oc1cc2c([nH]1)O2,15.0,14.0,14.0,13.0
C.c1c2oc2n2oc12,16.0,15.0,15.0,14.0
C.Oc1[nH]c2cc1O2,15.0,14.0,14.0,13.0
C.c1c2c3n(c1O2)O3,16.0,15.0,15.0,14.0
C.Oc1cc2c(O)n1-2,17.0,16.0,16.0,15.0
C.c1c2ooc3c1n23,18.0,17.0,17.0,16.0
C.O.c1cc2[nH]c1o2,16.0,15.0,15.0,14.0
C.On1c2ccc1o2,17.0,16.0,16.0,15.0
C.Oc1cc2[nH]c1o2,15.0,14.0,14.0,13.0
C.c1c2on3c1oc23,16.0,15.0,15.0,14.0
C.O.c1c2c3oc1n3-2,17.0,16.0,16.0,15.0
C.O.OC1=CC=C=N1,16.0,15.0,15.0,14.0
C.OOC1=CC=C=N1,17.0,16.0,16.0,15.0
C.OC1=C=NC(O)=C1,15.0,14.0,14.0,13.0
C.C1=NC2=CC=1OO2,16.0,15.0,15.0,14.0
C.C1=NC2=CC=1O2.O,15.0,14.0,14.0,13.0
C.C#CC=C(N)O.O,15.0,14.0,14.0,13.0
C.C#CC=C(N)OO,16.0,15.0,15.0,14.0
C.C#CC=C(O)NO,16.0,15.0,15.0,14.0
C.C#CC=C1NOO1,17.0,16.0,16.0,15.0
C.C#CC=C(O)N=O,17.0,16.0,16.0,15.0
C.C#CC=C1NO1.O,16.0,15.0,15.0,14.0
C.C#CC=C1ON1O,17.0,16.0,16.0,15.0
C.NC(O)=CC#CO,16.0,15.0,15.0,14.0
C.NC1=CC#COO1,17.0,16.0,16.0,15.0
C.OC1=CC#CON1,17.0,16.0,16.0,15.0
C.OC#CC=C1NO1,17.0,16.0,16.0,15.0
C.c1cc2on-2oc#1,18.0,17.0,17.0,16.0
C.Nc1cc#co1.O,16.0,15.0,15.0,14.0
C.ONc1cc#co1,17.0,16.0,16.0,15.0
C.O=Nc1cc#co1,18.0,17.0,17.0,16.0
C.O.Oc1cc#c[nH]1,16.0,15.0,15.0,14.0
C.OOc1cc#c[nH]1,17.0,16.0,16.0,15.0
C.Oc1cc#cn1O,17.0,16.0,16.0,15.0
C.c1cc2oon2c#1,18.0,17.0,17.0,16.0
C.O.c1cc2n(c#1)O2,17.0,16.0,16.0,15.0
C.C.CC=C=N.O.O,14.0,13.0,13.0,12.0
C.C.CC=C=N.OO,15.0,14.0,14.0,13.0
C.C.CC=C=N.O=O,16.0,15.0,15.0,14.0
C.C.CC=C=NO.O,15.0,14.0,14.0,13.0
C.C.CC=C=NOO,16.0,15.0,15.0,14.0
C.C.CC=C=NO.O,15.0,14.0,14.0,13.0
C.C.CC=C=NOO,16.0,15.0,15.0,14.0
C.C.N=C=CCO.O,13.0,12.0,12.0,11.0
C.C.N=C=CCOO,14.0,13.0,13.0,12.0
C.C.C1=CCON=1.O,14.0,13.0,13.0,12.0
C.C.OCC=C=NO,14.0,13.0,13.0,12.0
C.C.C1=CCOON=1,15.0,14.0,14.0,13.0
C.C.N=C=CC=O.O,14.0,13.0,13.0,12.0
C.C.O=CC=C=NO,15.0,14.0,14.0,13.0
C.C.N=C=CCO.O,13.0,12.0,12.0,11.0
C.C.N=C=CCOO,14.0,13.0,13.0,12.0
C.C.OCC=C=NO,14.0,13.0,13.0,12.0
C.C.C1=CCOON=1,15.0,14.0,14.0,13.0
C.C.C1=CCON=1.O,14.0,13.0,13.0,12.0
C.C.N=C=CC(O)O,12.0,11.0,11.0,10.0
C.C.N=C=CC1OO1,13.0,12.0,12.0,11.0
C.C.OC1C=C=NO1,13.0,12.0,12.0,11.0
C.C.OC1C=C=NO1,13.0,12.0,12.0,11.0
C.C.N=C=CC(=O)O,13.0,12.0,12.0,11.0
C.C.O=C1C=C=NO1,14.0,13.0,13.0,12.0
C.C.N=C=CC=O.O,12.0,11.0,11.0,10.0
C.C.O=CC=C=NO,13.0,12.0,12.0,11.0
C.C.N=C=CC(=O)O,11.0,10.0,10.0,9.0
C.C.O=C1C=C=NO1,12.0,11.0,11.0,10.0
C.C.C1=CCN=1.O.O,15.0,14.0,14.0,13.0
C.C.C1=CCN=1.OO,16.0,15.0,15.0,14.0
C.C.C1=CCN=1.O=O,17.0,16.0,16.0,15.0
C.C.O.OC1C=C=N1,14.0,13.0,13.0,12.0
C.C.OOC1C=C=N1,15.0,14.0,14.0,13.0
C.C.O.O=C1C=C=N1,15.0,14.0,14.0,13.0
C.C.O.OC1C=C=N1,14.0,13.0,13.0,12.0
C.C.OOC1C=C=N1,15.0,14.0,14.0,13.0
C.C.OC1(O)C=C=N1,13.0,12.0,12.0,11.0
C.C.C1=CC2(N=1)OO2,14.0,13.0,13.0,12.0
C.C.O.O=C1C=C=N1,13.0,12.0,12.0,11.0
C.CC=C=N.CO.O,15.0,14.0,14.0,13.0
C.CC=C=N.COO,16.0,15.0,15.0,14.0
C.CC=C=NOC.O,16.0,15.0,15.0,14.0
C.CC=C=NO.CO,16.0,15.0,15.0,14.0
C.CC=C=NOOC,17.0,16.0,16.0,15.0
C.COCC=C=N.O,14.0,13.0,13.0,12.0
C.COCC=C=NO,15.0,14.0,14.0,13.0
C.CO.N=C=CCO,14.0,13.0,13.0,12.0
C.COOCC=C=N,15.0,14.0,14.0,13.0
C.CON=C=CCO,15.0,14.0,14.0,13.0
C.C1=CCON=1.CO,15.0,14.0,14.0,13.0
C.COC(O)C=C=N,13.0,12.0,12.0,11.0
C.COC1C=C=NO1,14.0,13.0,13.0,12.0
C.CO.N=C=CC=O,13.0,12.0,12.0,11.0
C.CON=C=CC=O,14.0,13.0,13.0,12.0
C.COC(=O)C=C=N,12.0,11.0,11.0,10.0
C.C1=CCN=1.CO.O,16.0,15.0,15.0,14.0
C.C1=CCN=1.COO,17.0,16.0,16.0,15.0
C.COC1C=C=N1.O,15.0,14.0,14.0,13.0
C.CO.OC1C=C=N1,15.0,14.0,14.0,13.0
C.COOC1C=C=N1,16.0,15.0,15.0,14.0
C.COC1(O)C=C=N1,14.0,13.0,13.0,12.0
