rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
98239,[13C].[14C][15N][15C]1[17O][17C]([16C])[18O]1,[14C][15N][15C]1[17O][17C]([16C])[18O]1,CNC1OC(C)O1
98642,[13C].[14C][15N]=[15C][18O][17C]([16C])=[17O],[14C][15N]=[15C][18O][17C]([16C])=[17O],CN=COC(C)=O
98735,[13C].[14C][15N]=[15C][17O][17C]([16C])[18O],[14C][15N]=[15C][17O][17C]([16C])[18O],CN=COC(C)O
99088,[13C].[14C][15N]([16C])[18O][17C]([15C])=[17O],[14C][15N]([16C])[18O][17C]([15C])=[17O],CN(C)OC(C)=O
99115,[13C].[14C][15N][16C][18O][17C]([15C])=[17O],[14C][15N][16C][18O][17C]([15C])=[17O],CNCOC(C)=O
99252,[13C].[14C][15N][17O][17C]([15C])[16C].[18O],[14C][15N][17O][17C]([15C])[16C],CNOC(C)C
99256,[13C].[14C][15N][18O][17C]([15C])([16C])[17O],[14C][15N][18O][17C]([15C])([16C])[17O],CNOC(C)(C)O
99258,[13C].[14C][15N]1[17O][17C]([15C])([16C])[18O]1,[14C][15N]1[17O][17C]([15C])([16C])[18O]1,CN1OC(C)(C)O1
99274,[13C].[14C][15N][17C]([15C])([16C])[17O].[18O],[14C][15N][17C]([15C])([16C])[17O],CNC(C)(C)O
99300,[13C].[14C][15N][18O][16C][17C]([15C])=[17O],[14C][15N][18O][16C][17C]([15C])=[17O],CNOCC(C)=O
99343,[13C].[14C][15N][18O][17C]1([15C])[16C][17O]1,[14C][15N][18O][17C]1([15C])[16C][17O]1,CNOC1(C)CO1
99416,[13C].[14C][15N][16C][17C]([15C])[17O].[18O],[14C][15N][16C][17C]([15C])[17O],CNCC(C)O
99421,[13C].[14C][15N][16C][17C]([15C])([17O])[18O],[14C][15N][16C][17C]([15C])([17O])[18O],CNCC(C)(O)O
99422,[13C].[14C][15N][16C][17C]1([15C])[17O][18O]1,[14C][15N][16C][17C]1([15C])[17O][18O]1,CNCC1(C)OO1
99424,[13C].[14C][15N]1[16C][17C]([15C])([18O])[17O]1,[14C][15N]1[16C][17C]([15C])([18O])[17O]1,CN1CC(C)(O)O1
99425,[13C].[14C][15N][16C][17C]([15C])=[17O].[18O],[14C][15N][16C][17C]([15C])=[17O],CNCC(C)=O
99426,[13C].[14C][15N]([18O])[16C][17C]([15C])=[17O],[14C][15N]([18O])[16C][17C]([15C])=[17O],CN(O)CC(C)=O
99900,[13C].[14C][15N][18O][15C][17C]([16C])=[17O],[14C][15N][18O][15C][17C]([16C])=[17O],CNOCC(C)=O
99975,[13C].[14C][15N][16C][17C](=[17O])[15C][18O],[14C][15N][16C][17C](=[17O])[15C][18O],CNCC(=O)CO
1000437,[13C].[14C][15N][18O][17C]1([16C])[15C][17O]1,[14C][15N][18O][17C]1([16C])[15C][17O]1,CNOC1(C)CO1
1000512,[13C].[14C][15N][16C][17C]1([18O])[15C][17O]1,[14C][15N][16C][17C]1([18O])[15C][17O]1,CNCC1(O)CO1
1001170,[13C].[14C][15N][15C][17C](=[17O])[18O][16C],[14C][15N][15C][17C](=[17O])[18O][16C],CNCC(=O)OC
1001255,[13C].[14C][15N]([16C])[15C][17C](=[17O])[18O],[14C][15N]([16C])[15C][17C](=[17O])[18O],CN(C)CC(=O)O
1001301,[13C].[14C][15N][15C][17C]([16C])[17O].[18O],[14C][15N][15C][17C]([16C])[17O],CNCC(C)O
1001306,[13C].[14C][15N][15C][17C]([16C])([17O])[18O],[14C][15N][15C][17C]([16C])([17O])[18O],CNCC(C)(O)O
1001307,[13C].[14C][15N][15C][17C]1([16C])[17O][18O]1,[14C][15N][15C][17C]1([16C])[17O][18O]1,CNCC1(C)OO1
1001309,[13C].[14C][15N]1[15C][17C]([16C])([18O])[17O]1,[14C][15N]1[15C][17C]([16C])([18O])[17O]1,CN1CC(C)(O)O1
1001310,[13C].[14C][15N][15C][17C]([16C])=[17O].[18O],[14C][15N][15C][17C]([16C])=[17O],CNCC(C)=O
1001311,[13C].[14C][15N]([18O])[15C][17C]([16C])=[17O],[14C][15N]([18O])[15C][17C]([16C])=[17O],CN(O)CC(C)=O
1001330,[13C].[14C][15N][15C][17C]1([17O])[16C][18O]1,[14C][15N][15C][17C]1([17O])[16C][18O]1,CNCC1(O)CO1
1001332,[13C].[14C][15N][15C][17C](=[17O])[16C][18O],[14C][15N][15C][17C](=[17O])[16C][18O],CNCC(=O)CO
1001404,[13C].[14C][15N]1[15C][17C]([17O])([18O])[16C]1,[14C][15N]1[15C][17C]([17O])([18O])[16C]1,CN1CC(O)(O)C1
1001406,[13C].[14C][15N]1[15C][17C](=[17O])[16C]1.[18O],[14C][15N]1[15C][17C](=[17O])[16C]1,CN1CC(=O)C1
1001626,[13C].[14C][15N][15C]([18O])[17C]([16C])=[17O],[14C][15N][15C]([18O])[17C]([16C])=[17O],CNC(O)C(C)=O
1001896,[13C].[14C][15N][15C]1[17O][17C]1([16C])[18O],[14C][15N][15C]1[17O][17C]1([16C])[18O],CNC1OC1(C)O
1002237,[13C].[14C][15N]=[15C][17C]([16C])([17O])[18O],[14C][15N]=[15C][17C]([16C])([17O])[18O],CN=CC(C)(O)O
1002239,[13C].[14C][15N]=[15C][17C]([16C])=[17O].[18O],[14C][15N]=[15C][17C]([16C])=[17O],CN=CC(C)=O
1005335,[13C].[14C][15N][18O][16C][15C].[17C]=[17O],[14C][15N][18O][16C][15C],CNOCC
1005348,[13C].[14C][15N][17C]([17O])[18O][16C][15C],[14C][15N][17C]([17O])[18O][16C][15C],CNC(O)OCC
1005351,[13C].[14C][15N]([17C]=[17O])[18O][16C][15C],[14C][15N]([17C]=[17O])[18O][16C][15C],CN(C=O)OCC
