rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
1022191,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1[17O][15N][14C@H](c2ccccc2F)[18O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1ON[C@H](c2ccccc2)O1,4.916900000000004,400.47800000000007,1.0,4.0,50.8,5.0,0.24,5.0,0.6606970306946776
94883,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N][14CH]c2ccccc2F)[17C]([17O])[18O])cc1,O=C1c2ccccc2CN1c1ccc([C@@H](NCc2ccccc2)C(O)O)cc1,2.9886000000000017,374.44,3.0,4.0,72.80000000000001,6.0,0.17391304347826086,4.0,0.5802116096361162
94889,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@H]([17C]=[17O])[15N][14CH]c2ccccc2F)cc1,O=C[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,3.876800000000003,356.42500000000007,1.0,3.0,49.410000000000004,6.0,0.13043478260869565,4.0,0.6821439123204794
2052191,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N][14C@H](c1ccccc1F)[17C](=[17O])[18O],CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)N[C@@H](C(=O)O)c1ccccc1,4.193500000000002,400.47800000000007,2.0,3.0,69.64,7.0,0.2,4.0,0.6238552810632405
1048868,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N]=[14CH]c2ccccc2F)[17C](=[17O])[18O])cc1,O=C(O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.091800000000004,370.4080000000001,1.0,3.0,69.97,5.0,0.08695652173913043,4.0,0.6878253550908932
8008778,4.0,C[15C]1[14C@@H](c2ccccc2F)[15N][17C]([17O])([18O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1[C@@H](c2ccccc2)NC(O)(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.5496000000000025,400.4780000000001,3.0,4.0,72.8,3.0,0.24,5.0,0.5881752828716866
8010683,4.0,C[15C]1([16C@@H]([17C]=[17O])c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[15N][14C@@H]1c1ccccc1F,CC1([C@@H](C=O)c2ccc(N3Cc4ccccc4C3=O)cc2)N[C@@H]1c1ccccc1,4.232700000000003,382.463,1.0,3.0,59.32000000000001,5.0,0.2,5.0,0.5305547466133413
1005513,4.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N]([14CH]c1ccccc1F)[17C](=[17O])[18O],CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)N(Cc1ccccc1)C(=O)O,5.478300000000004,400.4780000000001,1.0,2.0,60.85000000000001,6.0,0.2,4.0,0.5960786680470561
1017820,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@H]2[15N][14C@H](c3ccccc3F)[18O][17C]2=[17O])cc1,O=C1O[C@@H](c2ccccc2)N[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.7333000000000025,370.4080000000001,1.0,4.0,58.64,3.0,0.13043478260869565,5.0,0.7139288288856359
4052260,4.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][17C](=[17O])[18O])c1ccccc1F,CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NC(=O)O)c1ccccc1,5.349500000000004,400.47800000000007,2.0,2.0,69.64,6.0,0.2,4.0,0.5859788317736918
1034487,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([18O])[15N][14C@H](c2ccccc2F)[17O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(O)N[C@H](c2ccccc2)O1,4.305300000000003,400.47800000000007,2.0,4.0,61.80000000000001,5.0,0.24,5.0,0.6701859870924697
