rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
99115,[13C].[14C][15N][16C][18O][17C]([15C])=[17O],[14C][15N][16C][18O][17C]([15C])=[17O],CNCOC(C)=O,0.16936697170860165,0.9012824140447774
99252,[13C].[14C][15N][17O][17C]([15C])[16C].[18O],[14C][15N][17O][17C]([15C])[16C],CNOC(C)C,0.3401130579817787,0.836144547498674
99256,[13C].[14C][15N][18O][17C]([15C])([16C])[17O],[14C][15N][18O][17C]([15C])([16C])[17O],CNOC(C)(C)O,0.3675715884704851,0.976223009690295
99258,[13C].[14C][15N]1[17O][17C]([15C])([16C])[18O]1,[14C][15N]1[17O][17C]([15C])([16C])[18O]1,CN1OC(C)(C)O1,0.35776840551488764,0.9043201305194235
99274,[13C].[14C][15N][17C]([15C])([16C])[17O].[18O],[14C][15N][17C]([15C])([16C])[17O],CNC(C)(C)O,0.5589845760854452,0.9710804622783196
99300,[13C].[14C][15N][18O][16C][17C]([15C])=[17O],[14C][15N][18O][16C][17C]([15C])=[17O],CNOCC(C)=O,0.1534266972815307,0.9081056555242247
99343,[13C].[14C][15N][18O][17C]1([15C])[16C][17O]1,[14C][15N][18O][17C]1([15C])[16C][17O]1,CNOC1(C)CO1,0.2698369786901141,0.8641281758172263
99416,[13C].[14C][15N][16C][17C]([15C])[17O].[18O],[14C][15N][16C][17C]([15C])[17O],CNCC(C)O,0.29800504650078236,0.9062783156249754
99421,[13C].[14C][15N][16C][17C]([15C])([17O])[18O],[14C][15N][16C][17C]([15C])([17O])[18O],CNCC(C)(O)O,0.33208015154255255,0.970246596314237
99422,[13C].[14C][15N][16C][17C]1([15C])[17O][18O]1,[14C][15N][16C][17C]1([15C])[17O][18O]1,CNCC1(C)OO1,0.24507686638549692,0.8807484737004824
99424,[13C].[14C][15N]1[16C][17C]([15C])([18O])[17O]1,[14C][15N]1[16C][17C]([15C])([18O])[17O]1,CN1CC(C)(O)O1,0.3761890689874549,0.9018077270265624
99425,[13C].[14C][15N][16C][17C]([15C])=[17O].[18O],[14C][15N][16C][17C]([15C])=[17O],CNCC(C)=O,0.1836773981627107,0.851156214614148
99426,[13C].[14C][15N]([18O])[16C][17C]([15C])=[17O],[14C][15N]([18O])[16C][17C]([15C])=[17O],CN(O)CC(C)=O,0.2520929411823588,0.8592987165874689
99900,[13C].[14C][15N][18O][15C][17C]([16C])=[17O],[14C][15N][18O][15C][17C]([16C])=[17O],CNOCC(C)=O,0.13309844655473257,0.9093572914832853
99975,[13C].[14C][15N][16C][17C](=[17O])[15C][18O],[14C][15N][16C][17C](=[17O])[15C][18O],CNCC(=O)CO,0.2687779559909305,0.7616713258489539
1000437,[13C].[14C][15N][18O][17C]1([16C])[15C][17O]1,[14C][15N][18O][17C]1([16C])[15C][17O]1,CNOC1(C)CO1,0.3203302225651049,0.8447511086674043
1000512,[13C].[14C][15N][16C][17C]1([18O])[15C][17O]1,[14C][15N][16C][17C]1([18O])[15C][17O]1,CNCC1(O)CO1,0.25199734275421576,0.8911297287872317
