rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
95631,[13C].[14C][15N]1[16C][17C]([18O][15C])[17O]1,[14C][15N]1[16C][17C]([18O][15C])[17O]1,CN1CC(OC)O1,-0.16410000000000013,103.121,0.0,3.0,21.700000000000003,1.0,1.0,1.0,0.4598481623894238
95633,[13C].[14C][15N]([16C][17C]=[17O])[18O][15C],[14C][15N]([16C][17C]=[17O])[18O][15C],CN(CC=O)OC,-0.3215000000000001,103.121,0.0,3.0,29.540000000000003,3.0,0.75,0.0,0.3618760083739453
95634,[13C].[14C][15N][16C][17C](=[17O])[18O][15C],[14C][15N][16C][17C](=[17O])[18O][15C],CNCC(=O)OC,-0.6212000000000002,103.12099999999998,1.0,3.0,38.33,2.0,0.75,0.0,0.47317456667071345
95640,[13C].[14C][15N]1[16C][17C]1([17O])[18O][15C],[14C][15N]1[16C][17C]1([17O])[18O][15C],CN1CC1(O)OC,-0.7757000000000001,103.12099999999998,1.0,3.0,32.47,1.0,1.0,1.0,0.3489798688724325
95706,[13C].[14C][15N][17O][17C](=[16C])[18O][15C],[14C][15N][17O][17C](=[16C])[18O][15C],CNOC(=C)OC,0.25499999999999995,103.121,1.0,3.0,30.49,3.0,0.5,0.0,0.4101286002878426
96296,[13C].[14C][15N][16C][17C]([18O])[17O][15C],[14C][15N][16C][17C]([18O])[17O][15C],CNCC(O)OC,-0.8294000000000004,105.13699999999999,2.0,3.0,41.489999999999995,3.0,1.0,0.0,0.46023490790255855
96628,[13C].[14C][15N][17C]1([16C])[17O][15C][18O]1,[14C][15N][17C]1([16C])[17O][15C][18O]1,CNC1(C)OCO1,-0.11620000000000008,103.121,1.0,3.0,30.49,1.0,1.0,1.0,0.5017205730381707
96660,[13C].[14C][15N][16C][17C]1[17O][15C][18O]1,[14C][15N][16C][17C]1[17O][15C][18O]1,CNCC1OCO1,-0.4638000000000002,103.121,1.0,3.0,30.49,2.0,1.0,1.0,0.5125056710831436
97160,[13C].[14C][15N]([15C])[17C](=[17O])[18O][16C],[14C][15N]([15C])[17C](=[17O])[18O][16C],CN(C)C(=O)OC,0.3144,103.12099999999998,0.0,2.0,29.540000000000003,0.0,0.75,0.0,0.44141043246436296
97239,[13C].[14C][15N]([15C])[16C].[17O]=[17C][18O],[14C][15N]([15C])[16C],CN(C)C,0.17779999999999996,59.111999999999995,0.0,1.0,3.24,0.0,1.0,0.0,0.3844627806876072
97248,[13C].[14C][15N]([15C])[16C][18O][17C]=[17O],[14C][15N]([15C])[16C][18O][17C]=[17O],CN(C)COC=O,-0.3215000000000001,103.12099999999998,0.0,3.0,29.54,3.0,0.75,0.0,0.3618760083739453
97290,[13C].[14C][15N]([15C])[17O][17C][16C].[18O],[14C][15N]([15C])[17O][17C][16C],CN(C)OCC,0.49949999999999994,89.138,0.0,2.0,12.47,2.0,1.0,0.0,0.4566462962080932
97293,[13C].[14C][15N]([15C])[18O][17C]([16C])[17O],[14C][15N]([15C])[18O][17C]([16C])[17O],CN(C)OC(C)O,-0.1821000000000001,105.13699999999999,1.0,3.0,32.7,2.0,1.0,0.0,0.390284807154112
97300,[13C].[14C][15N]([15C])[18O][17C]([16C])=[17O],[14C][15N]([15C])[18O][17C]([16C])=[17O],CN(C)OC(C)=O,0.026100000000000012,103.121,0.0,3.0,29.54,1.0,0.75,0.0,0.43823801176538024
97307,[13C].[14C][15N]([15C])[17C]([16C])[17O].[18O],[14C][15N]([15C])[17C]([16C])[17O],CN(C)C(C)O,-0.11370000000000008,89.13799999999999,1.0,2.0,23.47,1.0,1.0,0.0,0.4528554365279321
97309,[13C].[14C][15N]([15C])[17C]([16C])([17O])[18O],[14C][15N]([15C])[17C]([16C])([17O])[18O],CN(C)C(C)(O)O,-0.7937000000000001,105.13699999999997,2.0,3.0,43.7,1.0,1.0,0.0,0.42924619093530253
97310,[13C].[14C][15N]([15C])[17C]1([16C])[17O][18O]1,[14C][15N]([15C])[17C]1([16C])[17O][18O]1,CN(C)C1(C)OO1,0.18349999999999989,103.12099999999998,0.0,3.0,28.299999999999997,1.0,1.0,1.0,0.3499248184849302
