,smiles,min_dist_all,natoms,drugbank_matches
621,C=C1NOCO1,7.0,6,0
622,C=C=NOCO,7.0,6,0
623,C1=COCO1,5.0,5,0
624,NC=COCO,6.0,6,0
625,C1=COCON1,7.0,6,0
626,NC1=COCO1,7.0,6,0
627,N=C=COCO,7.0,6,0
628,C1=COCON=1,8.0,6,0
629,NC=C1OCO1,7.0,6,0
630,N=C=C1OCO1,8.0,6,0
631,OCON1C=C1,7.0,6,0
632,OCOC1=CN1,7.0,6,0
633,C1=C2OCON12,8.0,6,0
634,C1OC2=C(N2)O1,8.0,6,0
635,OCOC1=C=N1,8.0,6,0
636,C#COCO,5.0,5,0
637,C#COCON,7.0,6,0
638,C#CNOCO,7.0,6,0
639,C#CN1OCO1,8.0,6,0
640,C1#COCO1,6.0,5,0
641,NC#COCO,7.0,6,0
642,C1#COCON1,8.0,6,0
643,OCON1C#C1,8.0,6,0
644,CN(C)OC=O,5.0,6,0
645,CNCOC=O,5.0,6,4
646,CN=COC=O,6.0,6,1
647,C=NCOC=O,6.0,6,4
648,CCOC=O,3.0,5,1215
649,CCNOC=O,4.0,6,2
650,CC(N)OC=O,5.0,6,8
651,CC=NOC=O,6.0,6,6
652,CC(=N)OC=O,6.0,6,1
653,NCCOC=O,4.0,6,195
654,N=CCOC=O,6.0,6,1
655,N#CCOC=O,7.0,6,4
656,O=CON1CC1,3.0,6,0
657,O=COC1CN1,3.0,6,0
658,O=COC1=NC1,4.0,6,0
659,O=COC1C=N1,7.0,6,0
660,C=COC=O,3.0,5,8
661,C=CNOC=O,5.0,6,0
662,C=C(N)OC=O,5.0,6,0
663,C=C=NOC=O,6.0,6,0
664,NC=COC=O,5.0,6,1
665,N=C=COC=O,6.0,6,0
666,O=CON1C=C1,6.0,6,0
667,O=COC1=CN1,6.0,6,0
668,O=COC1=C=N1,7.0,6,0
669,C#COC=O,4.0,5,0
670,C#CNOC=O,6.0,6,0
671,NC#COC=O,6.0,6,0
672,O=CON1C#C1,7.0,6,0
673,CN(C)C,5.0,4,3181
674,CN(C)CO,7.0,5,178
675,CN(C)COO,8.0,6,0
676,CN(C)C=O,6.0,5,1352
677,CN(C)C(O)O,6.0,6,7
678,CN(C)C1OO1,7.0,6,0
679,CN(C)C(=O)O,5.0,6,94
680,CN1COC1,8.0,5,0
681,CN(CO)CO,8.0,6,4
682,CN1COOC1,9.0,6,0
683,CN1COC1O,7.0,6,0
684,CN(C=O)CO,7.0,6,45
685,CN1COC1=O,6.0,6,0
686,CN(C=O)C=O,8.0,6,96
687,CN1C2OC1O2,8.0,6,0
688,CCONC,5.0,5,35
689,CCOONC,6.0,6,0
690,CCON(C)O,6.0,6,0
691,CNOC(C)O,4.0,6,2
692,CC1ON(C)O1,5.0,6,0
693,CNOC(C)=O,3.0,6,2
694,CCNC,3.0,4,5634
695,CCN(C)O,5.0,5,63
696,CCN(C)OO,8.0,6,0
697,CNC(C)O,5.0,5,126
698,CNC(C)OO,6.0,6,0
699,CC1ON1C,6.0,5,0
700,CC(O)N(C)O,6.0,6,2
701,CC1OON1C,7.0,6,0
702,CNC(C)=O,4.0,5,3025
703,CC(=O)N(C)O,5.0,6,14
704,CNC(C)(O)O,4.0,6,7
705,CNC1(C)OO1,5.0,6,0
706,CN1OC1(C)O,5.0,6,0
707,CC=NC,4.0,4,296
708,CN=C(C)O,6.0,5,47
709,CN=C(C)OO,7.0,6,0
710,CNOCCO,6.0,6,14
711,CN1OCCO1,7.0,6,0
712,CNOC1CO1,5.0,6,0
713,CNOCC=O,5.0,6,1
714,CNCCO,5.0,5,2239
715,CNCCOO,6.0,6,5
716,CN1CCO1,6.0,5,0
717,CN(O)CCO,6.0,6,10
718,CN1CCOO1,7.0,6,0
719,CNC1CO1,6.0,5,0
720,CN(O)C1CO1,7.0,6,0
721,CNC(O)CO,6.0,6,50
722,CNC1COO1,7.0,6,0
723,CN1OCC1O,7.0,6,0
724,CN1OC1CO,7.0,6,0
725,CNC1(O)CO1,5.0,6,0
726,CN1OC12CO2,6.0,6,0
727,CNC(=O)CO,5.0,6,286
728,CN1OCC1=O,6.0,6,0
729,CN=CCO,6.0,5,36
730,CN=CCOO,7.0,6,0
731,CN=C1CO1,7.0,5,0
732,CN=C(O)CO,7.0,6,2
733,CN=C1COO1,8.0,6,0
734,CNCC=O,4.0,5,1488
735,CN(O)CC=O,5.0,6,7
736,CNC(O)C=O,5.0,6,32
737,CN1OC1C=O,6.0,6,0
738,CNC(=O)C=O,6.0,6,59
739,CN=CC=O,5.0,5,19
740,CN=C(O)C=O,6.0,6,1
741,CNCC(O)O,4.0,6,61
742,CNCC1OO1,5.0,6,0
743,CN1CC(O)O1,5.0,6,0
744,CNC1OC1O,5.0,6,0
745,CN1OC2OC21,6.0,6,0
746,CNC12OC1O2,6.0,6,0
747,CN=CC(O)O,5.0,6,0
748,CN=CC1OO1,6.0,6,0
749,CN=C1OC1O,6.0,6,0
750,CNCC(=O)O,3.0,6,714
751,CN1CC(=O)O1,4.0,6,0
752,CNC1OC1=O,4.0,6,0
753,CN=CC(=O)O,4.0,6,10
754,CN=c1oc1=O,5.0,6,0
755,CN1CC1,3.0,4,12
756,CN1CC1O,5.0,5,0
757,CN1CC1OO,7.0,6,0
758,CN1CC1=O,5.0,5,0
759,CN1CC1(O)O,5.0,6,0
760,CN1CC12OO2,6.0,6,0
761,CN1C2OC21,7.0,5,0
762,CN1C(O)C1O,7.0,6,0
