,smiles,min_dist_all,natoms
463,COC(=N)CO,9.0,6
464,COC1=NOC1,10.0,6
465,CON=C1CO1,10.0,6
466,COOCC#N,10.0,6
467,COC(O)CN,6.0,6
468,COC1CNO1,7.0,6
469,COC1OC1N,7.0,6
470,COC(O)C=N,7.0,6
471,COC1C=NO1,8.0,6
472,COC1OC1=N,8.0,6
473,COC(O)C#N,8.0,6
474,CONCC=O,7.0,6
475,COC(N)C=O,7.0,6
476,CON=CC=O,8.0,6
477,COC(=N)C=O,8.0,6
478,COC(=O)CN,5.0,6
479,COC(=O)C=N,6.0,6
480,COC(=O)C#N,7.0,6
481,CON1CC1,8.0,5
482,COON1CC1,9.0,6
483,COC1CN1,8.0,5
484,COC1CN1O,9.0,6
485,COOC1CN1,9.0,6
486,CON1CC1O,9.0,6
487,COC1(O)CN1,7.0,6
488,COC12CN1O2,8.0,6
489,CON1CC1=O,8.0,6
490,COC1=NC1,9.0,5
491,COOC1=NC1,10.0,6
492,COC1NC1O,9.0,6
493,COC1C2ON12,10.0,6
494,COC1NC1=O,8.0,6
495,COC1C=N1,9.0,5
496,COC1N=C1O,10.0,6
497,CON1C2OC21,10.0,6
498,COC12NC1O2,8.0,6
499,COOC1C=N1,10.0,6
500,COC1=NC1O,10.0,6
501,COC1(O)C=N1,8.0,6
502,COC12N=C1O2,9.0,6
503,COc1nc1=O,9.0,6
504,C=COC,5.0,4
505,C=COOC,6.0,5
506,C=CONOC,8.0,6
507,C=C(O)OC,5.0,5
508,C=C(OC)ON,7.0,6
509,C=CNOC,7.0,5
510,C=CNOOC,8.0,6
511,C=CN(O)OC,8.0,6
512,C=C(N)OC,7.0,5
513,C=C(NO)OC,8.0,6
514,C=C(N=O)OC,9.0,6
515,C=C(N)OOC,8.0,6
516,C=C(O)NOC,8.0,6
517,C=C1ON1OC,9.0,6
518,C=C=NOC,8.0,5
519,C=C=NOOC,9.0,6
520,COC=CO,6.0,5
521,COC=CON,8.0,6
522,COC=C=O,6.0,5
523,COC=CN,7.0,5
524,COC=CNO,8.0,6
525,COC=CN=O,9.0,6
526,COC=C(N)O,8.0,6
527,COC=C1NO1,9.0,6
528,COC=C=N,8.0,5
529,COC=C=NO,9.0,6
530,COC1=CO1,6.0,5
531,COOC=CN,8.0,6
532,CONC=CO,8.0,6
533,COn1cco1,9.0,6
534,COC(N)=CO,8.0,6
535,COc1co[nH]1,9.0,6
536,CONC1=CO1,9.0,6
537,COOC=C=N,9.0,6
538,CON=C=CO,9.0,6
539,COC(O)=CN,7.0,6
540,COc1c[nH]o1,8.0,6
541,COC1=C(N)O1,8.0,6
542,COC(O)=C=N,8.0,6
543,COC1=C=NO1,9.0,6
544,CONC=C=O,8.0,6
545,COC(N)=C=O,8.0,6
546,CON=C=C=O,9.0,6
547,CON1C=C1,8.0,5
548,COON1C=C1,9.0,6
549,COC1=CN1,8.0,5
550,COC1=CN1O,9.0,6
551,COOC1=CN1,9.0,6
552,CON1C=C1O,9.0,6
553,COC1=C(O)N1,9.0,6
554,COc1c2on1-2,10.0,6
555,COC1=C=N1,9.0,5
556,COn1c2oc1=2,10.0,6
557,COOC1=C=N1,10.0,6
558,C#COC,6.0,4
559,C#COOC,7.0,5
560,C#CONOC,9.0,6
561,C#CNOC,8.0,5
562,C#CNOOC,9.0,6
563,C#CN(O)OC,9.0,6
564,COC#CO,7.0,5
565,COC#CON,9.0,6
566,COC#CN,8.0,5
567,COC#CNO,9.0,6
568,COC#CN=O,10.0,6
569,COOC#CN,9.0,6
570,CONC#CO,9.0,6
571,COn1c#co1,10.0,6
572,CON1C#C1,9.0,5
573,COON1C#C1,10.0,6
574,CN(C)OCO,6.0,6
575,CNCOCO,6.0,6
576,CN1COCO1,7.0,6
577,CNC1OCO1,7.0,6
578,CN=COCO,7.0,6
579,CN=C1OCO1,8.0,6
580,C1NCOCO1,7.0,6
581,C=NCOCO,7.0,6
582,C1=NCOCO1,8.0,6
583,C=NC1OCO1,8.0,6
584,CCOCO,4.0,5
585,CCOCON,6.0,6
586,CC1OCO1,5.0,5
587,CCNOCO,6.0,6
588,CCN1OCO1,7.0,6
589,CC(N)OCO,6.0,6
590,CC1NOCO1,7.0,6
591,CC1(N)OCO1,7.0,6
592,CC=NOCO,7.0,6
593,CC(=N)OCO,7.0,6
594,CC1=NOCO1,8.0,6
595,C1COCO1,5.0,5
596,NCCOCO,6.0,6
597,C1COCON1,7.0,6
598,NC1COCO1,7.0,6
599,N=CCOCO,7.0,6
600,C1=NOCOC1,8.0,6
601,N=C1COCO1,8.0,6
602,N#CCOCO,8.0,6
603,NCC1OCO1,7.0,6
604,N=CC1OCO1,8.0,6
605,N#CC1OCO1,9.0,6
606,OCON1CC1,7.0,6
607,OCOC1CN1,7.0,6
608,C1OC2CN2O1,8.0,6
609,C1OC2(CN2)O1,8.0,6
610,OCOC1=NC1,8.0,6
611,C1OC2NC2O1,8.0,6
612,OCOC1C=N1,8.0,6
613,C1OC2=NC2O1,9.0,6
