rmat_tag,distance,largest_cleaned
2323,8.0,CCN=C(C=O)C=CC=C(CO)C
2325,7.0,CCN=C1C=CC=C(C)COC1=O
2365,10.0,C=CC=CC=C(C)CONCC
2378,10.0,CCN1OC=CC=CC=C(C)CO1
2380,8.0,CCNOC1=CC=CC=C(C)CO1
2382,8.0,CCNOCC(=CC=CC=C=O)C
2391,10.0,CCN(O)C1=CC=CC=C(C)CO1
2394,10.0,CCNC1=CC=CC=C(C)COO1
2395,10.0,CCN1OCC(C)=CC=CC=C1O
2396,10.0,CCN1OC1=CC=CC=C(CO)C
2407,10.0,CCNOC=C1C=CC=C(C)CO1
2412,10.0,CCNC(O)=C1C=CC=C(C)CO1
2420,12.0,C=C1C=CC=C(C)CON(CC)O1
2422,10.0,CCNOC1=COCC(C)=CC=C1
2431,10.0,CCNC1=C(O)C=CC=C(C)CO1
2436,13.0,CCN=C=C1C=CC=C(C)COO1
2455,10.0,C=C(C=CC=C(CO)C)NCC
2459,12.0,C=C1C=CC=C(C)COON1CC
2463,10.0,CCN(O)C1=COCC(C)=CC=C1
2466,10.0,CCNC1=COOCC(C)=CC=C1
2467,10.0,CCN1OCC(C)=CC=CC1=CO
2468,10.0,CCN1OC=C1C=CC=C(CO)C
2470,8.0,CCNC1=C(O)OCC(C)=CC=C1
2472,8.0,CCNC(=C=O)C=CC=C(CO)C
2473,9.0,CCN1OCC(C)=CC=CC1=C=O
2542,12.0,C#CC=CC=C(C)COONCC
2543,12.0,C#CC=CC=C(C)CON(O)CC
2551,10.0,CCNOCC(=CC=CC#CO)C
2552,10.0,CCNOC#CC=CC=C(CO)C
2623,12.0,CCNOCC=CC=C(C=O)C
2627,11.0,CCNCOCC=CC=C(C=O)C
2638,12.0,CCN(O)CC=CC=C(C=O)C
2641,11.0,CCN(CC=CC=C(C=O)C)OC
2642,9.0,CCNCC=CC=C(C=O)C
2645,11.0,CCN(CO)CC=CC=C(C=O)C
2647,10.0,CCN(C=O)CC=CC=C(C=O)C
2651,12.0,CCNC(O)C=CC=C(C=O)C
2653,11.0,CCNC(C=CC=C(C=O)C)OC
2666,10.0,CCN=CC=CC=C(C=O)C
2672,12.0,CCN=C(C=CC=C(C=O)C)OC
2689,11.0,CCN(O)CCC=CC=C(C=O)C
2693,8.0,CCNC(=O)CC=CC=C(C=O)C
2700,11.0,CCNOC(C)C=CC=C(C=O)C
2702,11.0,CCNCC(O)C=CC=C(C=O)C
2707,11.0,CCN=C1OC1C=CC=C(C=O)C
2714,11.0,CCN(O)C(C)C=CC=C(C=O)C
2718,8.0,CCNC(C=O)C=CC=C(C=O)C
2723,9.0,CCN1C(=O)C1C=CC=C(C=O)C
2726,11.0,CCNC(C)(O)C=CC=C(C=O)C
2727,12.0,CCN1OC1(C)C=CC=C(C=O)C
2731,11.0,CCN1C2OC21C=CC=C(C=O)C
2737,11.0,CCN=C(C)C=CC=C(C=O)C
2741,9.0,CCN=C(C=O)C=CC=C(C=O)C
2763,11.0,CCN1OC1=CC=CC=C(C=O)C
2767,12.0,C=C(C=CC=C(C=O)C)ONCC
2777,11.0,C=C(C=CC=C(C=O)C)NCC
2778,12.0,C=C(C=CC=C(C=O)C)N(O)CC
2781,11.0,CCN1OC=C1C=CC=C(C=O)C
2782,9.0,CCNC(=C=O)C=CC=C(C=O)C
2806,11.0,CCNOC#CC=CC=C(C=O)C
2825,11.0,CC=CC=C(C)COONCC
2828,11.0,CC=CC=C(C)CON(O)CC
2834,10.0,CC=CC=C(C)CON(CC)OC
2851,10.0,CC=CC=C(C)COOCNCC
2853,10.0,CC=CC=C(C)CON(CC)CO
2861,9.0,CC=CC=C(C)COC1ON1CC
2869,11.0,CC=CC=C(C)COOC=NCC
2876,9.0,CC=CC=C(C)COC(O)=NCC
2885,11.0,CCNOCC=CC=C(CO)C
2886,11.0,CCNOCC(=CC=CCO)C
2887,12.0,CCN1OCC=CC=C(C)CO1
2889,10.0,CCNOCC(=CC=CCOC)C
2891,10.0,CCNOCC=CC=C(C)COC
2898,10.0,CCNCOCC=CC=C(CO)C
2899,11.0,CCN1COCC=CC=C(C)CO1
2901,11.0,CCN1COCC(C)=CC=CCO1
2902,9.0,CCNC1OCC=CC=C(C)CO1
2907,11.0,CCN=COCC=CC=C(CO)C
2909,11.0,CCN=COCC(=CC=CCO)C
2911,10.0,CCN=C1OCC=CC=C(C)CO1
2917,12.0,CCNOCC(=CC=CC=O)C
2921,11.0,CCNCOCC(=CC=CC=O)C
2947,12.0,CCNOC1C=CC=C(C)CO1
2951,11.0,CCNCOC1C=CC=C(C)CO1
2962,11.0,CCNCC=CC=C(C)COO
2963,11.0,CCN(O)CC=CC=C(CO)C
2964,12.0,CCN1CC=CC=C(C)COO1
2969,10.0,CCNCC=CC=C(C)COOC
2970,10.0,CCN(CC=CC=C(CO)C)OC
2976,10.0,CCN(O)CC=CC=C(C)COC
2978,8.0,CCNCC=CC=C(C)COCO
2979,9.0,CCN1CC=CC=C(C)COCO1
2986,10.0,CCN(CO)CC=CC=C(CO)C
2987,11.0,CCN1CC=CC=C(C)COOC1
2994,9.0,CCN1CC=CC=C(C)COC1O
3004,11.0,CCNC(O)C=CC=C(CO)C
3009,10.0,CCNC(C=CC=C(CO)C)OC
3010,11.0,CCN1OCC(C)=CC=CC1OC
3011,10.0,CCNC(O)C=CC=C(C)COC
3012,11.0,CCN1OC1C=CC=C(C)COC
3013,9.0,CCNC1C=CC=C(C)COCO1
3018,11.0,CCN1COC1C=CC=C(CO)C
3020,11.0,CCN1COCC(C)=CC=CC1O
3022,10.0,CCN1C2C=CC=C(C)COC1O2
3040,11.0,CCN(OC)C1C=CC=C(C)CO1
3044,11.0,CCN(CO)C1C=CC=C(C)CO1
3052,11.0,CCNC1(OC)C=CC=C(C)CO1
3074,9.0,CCN=CC=CC=C(C)COCO
3093,10.0,CCN=C1C=CC=C(C)COCO1
3136,10.0,CCC=CC=C(C)COONCC
3138,9.0,CCC=CC=C(C)CONCC
3139,10.0,CCC=CC=C(C)CON(O)CC
3143,8.0,CCNOCCC=CC=C(CO)C
3144,8.0,CCNOCC(=CC=CCCO)C
3145,9.0,CCN1OCCC=CC=C(C)CO1
3152,7.0,CCNOC1CC=CC=C(C)CO1
3157,11.0,CCN1CCC=CC=C(C)COO1
3162,9.0,CCNC1CC=CC=C(C)COO1
3163,9.0,CCN1OC1CC=CC=C(CO)C
3164,9.0,CCN1OCC(C)=CC=CCC1O
3169,9.0,CCN(O)C1CC=CC=C(C)CO1
3171,7.0,CCNC1(O)CC=CC=C(C)CO1
3178,9.0,CCN=C(O)CC=CC=C(CO)C
3179,10.0,CCN=C1CC=CC=C(C)COO1
3188,10.0,CCNOC(C)C=CC=C(CO)C
3189,10.0,CCNOCC(=CC=CC(C)O)C
3190,11.0,CCN1OCC(C)=CC=CC(C)O1
3192,9.0,CCNOCC(=CC=CC1CO1)C
3194,9.0,CCNOC1C=CC=C(C)COC1
3197,11.0,CCNCC1C=CC=C(C)COO1
3198,11.0,CCN1CC(C=CC=C(CO)C)O1
3199,11.0,CCN1CC(O)C=CC=C(C)CO1
3201,9.0,CCNC1OC1C=CC=C(CO)C
3202,10.0,CCN1OCC(C)=CC=CC2OC21
3203,9.0,CCNC1OCC(C)=CC=CC1O
3204,10.0,CCN1OC2C=CC=C(C)COC21
3210,10.0,CCN=C1OC1C=CC=C(CO)C
3212,10.0,CCN=C1OCC(C)=CC=CC1O
3217,11.0,CCNOCC(=CC=CC(C)=O)C
3224,11.0,CCN=C1OCC(C)=CC=CC1=O
3230,9.0,CCNOCC1C=CC=C(C)CO1
3235,9.0,CCNC(O)C1C=CC=C(C)CO1
3265,9.0,CCNC1C=CC=C(C)COOC1
3266,9.0,CCN1OCC1C=CC=C(CO)C
3267,9.0,CCN1OCC(C)=CC=CC1CO
3272,9.0,CCN(O)C1C=CC=C(C)COC1
3274,7.0,CCNC1C=CC=C(C)COC1O
3278,11.0,CCN1CC1C=CC=C(C)COO
3282,9.0,CCN1C(O)C1C=CC=C(CO)C
3290,8.0,CCN1C2C=CC=C(C)COC21O
3300,11.0,CCN1OCC(C)=CC=CC1(C)O
3302,9.0,CCNC1(C=CC=C(CO)C)CO1
3304,9.0,CCNC1(O)C=CC=C(C)COC1
3306,8.0,CCNC12C=CC=C(C)COC1O2
3307,11.0,CCN1CC1(O)C=CC=C(CO)C
3315,9.0,CCN1C23C=CC=C(C)COC12O3
